sample_id,reviewer_decision,decision_level,can_be_primary_evidence,can_enter_recall_layer,can_enter_vector_index,can_only_be_review_material,should_remain_excluded,anchor_stability_note,semantic_value_note,risk_note,final_comment
A01,不宜直抬主依据，但可回放到 recall 与受控 vector,L2,N,Y,Y,N,N,当前无自动挂点；与相邻条文 ZJSHL-CH-003-P-0048 存在近邻语境关系，需人工确认后再决定是否挂回。,文本较完整，适合补 recall 与受控向量召回，但不宜直接抬主依据。,ambiguous 命中说明该条在解析层仍有不稳定因素，直接回主链可能造成伪定义或错引。,语义完整，能补“发汗后不汗解”的解释，但仍属解释性材料，不宜直抬主依据。
A02,不宜直抬主依据，但可回放到 recall 与受控 vector,L2,N,Y,Y,N,N,当前无自动挂点；与相邻条文 ZJSHL-CH-003-P-0051 存在近邻语境关系，需人工确认后再决定是否挂回。,文本较完整，适合补 recall 与受控向量召回，但不宜直接抬主依据。,ambiguous 命中说明该条在解析层仍有不稳定因素，直接回主链可能造成伪定义或错引。,问答体完整，具有独立检索价值，但 ambiguous 命中后更适合先做 recall/复核。
A03,不宜直抬主依据，但可回放到 recall 与受控 vector,L2,N,Y,Y,N,N,当前无自动挂点；与相邻条文 ZJSHL-CH-006-P-0119 存在近邻语境关系，需人工确认后再决定是否挂回。,文本较完整，适合补 recall 与受控向量召回，但不宜直接抬主依据。,ambiguous 命中说明该条在解析层仍有不稳定因素，直接回主链可能造成伪定义或错引。,对“发汗药”问题非常有用，但带有解释性归纳和外引语气，宜放在 recall / vector，而非 primary。
A04,仅建议作为 review / risk material,L3,N,N,N,Y,N,当前无自动挂点；与相邻条文 ZJSHL-CH-006-P-0127 存在近邻语境关系，需人工确认后再决定是否挂回。,文本有参考价值，但解释跳跃或上下文依赖较强，更适合 review。,ambiguous 命中说明该条在解析层仍有不稳定因素，直接回主链可能造成伪定义或错引。,讲的是服法节奏，脱离上下文容易被错读为通用规则，更适合 review。
A05,不宜直抬主依据，但可回放到 recall 与受控 vector,L2,N,Y,Y,N,N,当前无自动挂点；与相邻条文 ZJSHL-CH-006-P-0126 存在近邻语境关系，需人工确认后再决定是否挂回。,文本较完整，适合补 recall 与受控向量召回，但不宜直接抬主依据。,ambiguous 命中说明该条在解析层仍有不稳定因素，直接回主链可能造成伪定义或错引。,对“发汗药怎么用”有直接解释力，可回放到 recall / vector，但不宜包装成 canonical 定义。
A06,仅建议作为 review / risk material,L3,N,N,N,Y,N,当前无自动挂点；与相邻条文 ZJSHL-CH-007-P-0164 存在近邻语境关系，需人工确认后再决定是否挂回。,文本有参考价值，但解释跳跃或上下文依赖较强，更适合 review。,ambiguous 命中说明该条在解析层仍有不稳定因素，直接回主链可能造成伪定义或错引。,内容有价值，但主要是“发汗太多则亡阳”的风险提示，适合作为 review 旁证。
A07,可作为后续受控回放中的 primary 候选,L1,Y,Y,Y,N,N,当前无稳定自动锚点；若要放回，宜先按邻接语境做人工定位。,文本本体完整，语义自足，具备独立支撑定义/方证/治法判断的潜力。,ambiguous 命中说明该条在解析层仍有不稳定因素，直接回主链可能造成伪定义或错引。,句子短而完整，是高信息密度的定义型条文；若人工核定无解析歧义，可列入 primary 候选池。
A08,可回放到 recall 层，但暂不建议进入 vector,L2,N,Y,N,N,N,当前无自动挂点；与相邻条文 ZJSHL-CH-008-P-0226 存在近邻语境关系，需人工确认后再决定是否挂回。,文本能补主题召回，但上下文依赖仍偏强，暂不建议 dense 化。,ambiguous 命中说明该条在解析层仍有不稳定因素，直接回主链可能造成伪定义或错引。,是对坏病/逆治的解释性跟条，可回放到 recall，但 dense 化会抬高上下文依赖风险。
A09,仅建议作为 review / risk material,L3,N,N,N,Y,N,当前无稳定自动锚点；若要放回，宜先按邻接语境做人工定位。,文本有参考价值，但解释跳跃或上下文依赖较强，更适合 review。,ambiguous 命中说明该条在解析层仍有不稳定因素，直接回主链可能造成伪定义或错引。,长条虽完整，但推演链较长、外引较多，容易被误当成稳定定义，先放 review 更稳妥。
A10,不宜直抬主依据，但可回放到 recall 与受控 vector,L2,N,Y,Y,N,N,当前无自动挂点；与相邻条文 ZJSHL-CH-017-P-0063 存在近邻语境关系，需人工确认后再决定是否挂回。,文本较完整，适合补 recall 与受控向量召回，但不宜直接抬主依据。,ambiguous 命中说明该条在解析层仍有不稳定因素，直接回主链可能造成伪定义或错引。,直接解释竹叶石膏汤所对治的病机，适合受控回放到 recall / vector，但不宜替代主条。
A11,继续排除,L4,N,N,N,N,Y,无 annotation 挂接问题；当前降级主要由短文本阈值触发。,文本过短或碎片化，语义不自足，不适合作为独立检索对象。,主要风险来自句长过短，检索和 rerank 时容易被高相似噪声放大。,语句过短、上下文依赖强，单独检索时极易误召回。
A12,仅建议作为 review / risk material,L3,N,N,N,Y,N,无 annotation 挂接问题；当前降级主要由短文本阈值触发。,文本有参考价值，但解释跳跃或上下文依赖较强，更适合 review。,主要风险来自句长过短，检索和 rerank 时容易被高相似噪声放大。,观察性短句本身成立，但脱离前后文不宜参与常规召回。
A13,仅建议作为 review / risk material,L3,N,N,N,Y,N,无 annotation 挂接问题；当前降级主要由短文本阈值触发。,文本有参考价值，但解释跳跃或上下文依赖较强，更适合 review。,主要风险来自句长过短，检索和 rerank 时容易被高相似噪声放大。,诊断速记型表达，适合 review，对开放召回帮助有限。
A14,仅建议作为 review / risk material,L3,N,N,N,Y,N,无 annotation 挂接问题；当前降级主要由短文本阈值触发。,文本有参考价值，但解释跳跃或上下文依赖较强，更适合 review。,主要风险来自句长过短，检索和 rerank 时容易被高相似噪声放大。,句子完整但术语密度高，仍依赖语段背景来判定含义，先作 review 更合适。
A15,不宜直抬主依据，但可回放到 recall 与受控 vector,L2,N,Y,Y,N,N,无 annotation 挂接问题；当前降级主要由短文本阈值触发。,文本较完整，适合补 recall 与受控向量召回，但不宜直接抬主依据。,主要风险来自句长过短，检索和 rerank 时容易被高相似噪声放大。,虽然很短，但语义自足，可作为“伤寒多从风寒得之”的高精简 recall 候选。
A16,不宜直抬主依据，但可回放到 recall 与受控 vector,L2,N,Y,Y,N,N,无 annotation 挂接问题；当前降级主要由短文本阈值触发。,文本较完整，适合补 recall 与受控向量召回，但不宜直接抬主依据。,主要风险来自句长过短，检索和 rerank 时容易被高相似噪声放大。,规则型短条可用于召回和向量索引补充，但不建议单独扛主依据。
A17,仅建议作为 review / risk material,L3,N,N,N,Y,N,无 annotation 挂接问题；当前降级主要由短文本阈值触发。,文本有参考价值，但解释跳跃或上下文依赖较强，更适合 review。,主要风险来自句长过短，检索和 rerank 时容易被高相似噪声放大。,高风险断语过短，单句上线容易造成脱离条件的绝对化表达。
A18,可作为后续受控回放中的 primary 候选,L1,Y,Y,Y,N,N,无 annotation 挂接问题；当前降级主要由短文本阈值触发。,文本本体完整，语义自足，具备独立支撑定义/方证/治法判断的潜力。,主要风险来自句长过短，检索和 rerank 时容易被高相似噪声放大。,典型“X之为病”定义句，虽短但语义完整，是 short demotion 中最值得复核回升的一类。
A19,可作为后续受控回放中的 primary 候选,L1,Y,Y,Y,N,N,无 annotation 挂接问题；当前降级主要由短文本阈值触发。,文本本体完整，语义自足，具备独立支撑定义/方证/治法判断的潜力。,主要风险来自句长过短，检索和 rerank 时容易被高相似噪声放大。,方证直接对应，短而完整，后续可讨论回升为 primary 候选。
A20,可作为后续受控回放中的 primary 候选,L1,Y,Y,Y,N,N,无 annotation 挂接问题；当前降级主要由短文本阈值触发。,文本本体完整，语义自足，具备独立支撑定义/方证/治法判断的潜力。,主要风险来自句长过短，检索和 rerank 时容易被高相似噪声放大。,标准方证主治句式，safe 仅因字数降级，存在明显过保守迹象。
B01,只保留为 review 材料，不建议进入常规召回,L3,N,N,N,Y,N,当前 link 指向 ZJSHL-CH-003-P-0072，但更接近 ZJSHL-CH-003-P-0074；自动挂接不稳。,注解文本有核对价值，但当前更像人工复核材料，不宜常规放回。,若按当前 link 放开，会把相邻条文解释错挂成“已验证依据”。,注解内容本身有解释力，但当前错挂明确；若不先改锚点，不应进入常规使用链路。
B02,继续排除；不建议作为自动挂接或常规辅助材料,L4,N,N,N,N,Y,当前 link 指向 ZJSHL-CH-003-P-0076，但更接近 ZJSHL-CH-003-P-0078；自动挂接不稳。,注解过短或过于摘要化，离开准确挂点后语义价值很低。,若按当前 link 放开，会把相邻条文解释错挂成“已验证依据”。,摘要语高度依赖正确挂点，当前形态不宜放回任何线上层。
B03,继续排除；不建议作为自动挂接或常规辅助材料,L4,N,N,N,N,Y,当前 link 指向 ZJSHL-CH-003-P-0080，但更接近 ZJSHL-CH-003-P-0082；自动挂接不稳。,注解过短或过于摘要化，离开准确挂点后语义价值很低。,若按当前 link 放开，会把相邻条文解释错挂成“已验证依据”。,“肝绝也”类摘要语缺乏自足语境，错挂时几乎必然造成串条。
B04,继续排除；不建议作为自动挂接或常规辅助材料,L4,N,N,N,N,Y,当前 link 指向 ZJSHL-CH-003-P-0082，但更接近 ZJSHL-CH-003-P-0084；自动挂接不稳。,注解过短或过于摘要化，离开准确挂点后语义价值很低。,若按当前 link 放开，会把相邻条文解释错挂成“已验证依据”。,摘要型注解不自足，且确认存在相邻偏移，不建议恢复。
B05,继续排除；不建议作为自动挂接或常规辅助材料,L4,N,N,N,N,Y,当前 link 指向 ZJSHL-CH-003-P-0084，但更接近 ZJSHL-CH-003-P-0086；自动挂接不稳。,注解过短或过于摘要化，离开准确挂点后语义价值很低。,若按当前 link 放开，会把相邻条文解释错挂成“已验证依据”。,同段连续偏移中的摘要语，当前形态风险高于收益。
B06,只保留为 review 材料，不建议进入常规召回,L3,N,N,N,Y,N,当前 link 指向 ZJSHL-CH-003-P-0086，但更接近 ZJSHL-CH-003-P-0088；自动挂接不稳。,注解文本有核对价值，但当前更像人工复核材料，不宜常规放回。,若按当前 link 放开，会把相邻条文解释错挂成“已验证依据”。,比纯摘要略完整，但仍明显依赖正确挂条；先作为 review 材料保留。
B07,仅按注解原文受控回放到 recall / auxiliary，不启用自动挂接,L2,N,Y,N,N,N,当前 link 指向 ZJSHL-CH-003-P-0052，但更接近 ZJSHL-CH-003-P-0054；自动挂接不稳。,注解原文本身解释力较强，可作辅助说明或 raw annotation recall。,存在“挂到前一条”的偏移信号，未人工复核前不宜恢复自动挂接。,长解释条有内容价值，可考虑按“未自动挂接的注解原文”回放到 recall。
B08,继续排除；不建议作为自动挂接或常规辅助材料,L4,N,N,N,N,Y,当前 link 指向 ZJSHL-CH-003-P-0078，但更接近 ZJSHL-CH-003-P-0080；自动挂接不稳。,注解过短或过于摘要化，离开准确挂点后语义价值很低。,存在“挂到前一条”的偏移信号，未人工复核前不宜恢复自动挂接。,一句式病机摘要，既疑似偏移又不自足，继续排除更稳妥。
B09,只保留为 review 材料，不建议进入常规召回,L3,N,N,N,Y,N,当前 link 指向 ZJSHL-CH-003-P-0088，但更接近 ZJSHL-CH-003-P-0090；自动挂接不稳。,注解文本有核对价值，但当前更像人工复核材料，不宜常规放回。,存在“挂到前一条”的偏移信号，未人工复核前不宜恢复自动挂接。,内容长但推演链复杂，且疑似挂到前条，建议仅保留为 review。
B10,只保留为 review 材料，不建议进入常规召回,L3,N,N,N,Y,N,当前 link 指向 ZJSHL-CH-003-P-0090，但更接近 ZJSHL-CH-003-P-0092；自动挂接不稳。,注解文本有核对价值，但当前更像人工复核材料，不宜常规放回。,存在“挂到前一条”的偏移信号，未人工复核前不宜恢复自动挂接。,更像上一条解释链的延续，常规召回价值不高。
B11,仅按注解原文受控回放到 recall / auxiliary，不启用自动挂接,L2,N,Y,N,N,N,当前 link 指向 ZJSHL-CH-003-P-0097，但更接近 ZJSHL-CH-003-P-0099；自动挂接不稳。,注解原文本身解释力较强，可作辅助说明或 raw annotation recall。,存在“挂到前一条”的偏移信号，未人工复核前不宜恢复自动挂接。,解释力较强，可作为 raw annotation 受控回放，但不恢复自动挂接。
